"Face","AU","AI","SU","SI","Ethnicity","Sex"
"CFD-AF-206-079-N",1.92156862745098,2.54901960784314,4.72549019607843,4.6078431372549,"A","F"
"CFD-AF-207-023-N",2,2.15686274509804,4.49019607843137,4.29411764705882,"A","F"
"CFD-AF-208-003-N",2.19607843137255,2.03921568627451,4.74509803921569,4.64705882352941,"A","F"
"CFD-AF-209-006-N",2.2156862745098,2.64705882352941,4.15686274509804,4.3921568627451,"A","F"
"CFD-AF-216-106-N",2.88,3.11764705882353,4.92156862745098,4.68627450980392,"A","F"
"CFD-AF-221-147-N",2,1.80392156862745,4.17647058823529,4.46,"A","F"
"CFD-AF-222-134-N",2.2156862745098,2.88235294117647,3.84313725490196,4.56862745098039,"A","F"
"CFD-AF-227-207-N",2.49019607843137,3.2156862745098,5.15686274509804,4.84,"A","F"
"CFD-AF-229-160-N",2.64705882352941,2.98039215686275,4.68627450980392,4.80392156862745,"A","F"
"CFD-AF-242-158-N",3.82352941176471,4.62745098039216,4.86274509803922,5.08,"A","F"
"CFD-AF-244-168-N",2.82352941176471,2.94117647058824,4.82352941176471,4.7843137254902,"A","F"
"CFD-AF-247-278-N",2.17647058823529,2.58823529411765,4.27450980392157,4.56862745098039,"A","F"
"CFD-AF-252-135-N",2.82352941176471,3.15686274509804,4.45098039215686,4.96078431372549,"A","F"
"CFD-AF-253-130-N",3.31372549019608,2.74509803921569,5.07843137254902,4.56862745098039,"A","F"
"CFD-AF-256-160-N",2.84313725490196,3.35294117647059,5.52941176470588,5,"A","F"
"CFD-AM-202-079-N",1.7843137254902,1.84313725490196,4.01960784313725,4.43137254901961,"A","M"
"CFD-AM-208-143-N",2.31372549019608,2.3921568627451,4.05882352941176,4.09803921568627,"A","M"
"CFD-AM-210-035-N",2.3921568627451,2.31372549019608,4.64705882352941,4.56862745098039,"A","M"
"CFD-AM-216-114-N",2.88235294117647,2.96078431372549,4.70588235294118,5.15686274509804,"A","M"
"CFD-AM-223-138-N",1.92156862745098,2.03921568627451,4.94117647058824,3.98,"A","M"
"CFD-AM-224-126-N",1.3921568627451,1.31372549019608,3.98039215686275,3.62,"A","M"
"CFD-AM-228-214-N",2.29411764705882,2.6078431372549,4.62745098039216,4.54901960784314,"A","M"
"CFD-AM-229-224-N",2.01960784313725,2.01960784313725,4.52941176470588,4.25490196078431,"A","M"
"CFD-AM-232-251-N",1.80392156862745,1.84313725490196,4.47058823529412,4.54901960784314,"A","M"
"CFD-AM-238-269-N",2.01960784313725,2.47058823529412,5.29411764705882,4.96078431372549,"A","M"
"CFD-AM-242-176-N",1.98039215686275,2.50980392156863,4.35294117647059,4.37254901960784,"A","M"
"CFD-AM-244-222-N",2.01960784313725,2.11764705882353,3.76470588235294,4.62745098039216,"A","M"
"CFD-AM-245-111-N",2.41176470588235,2.52941176470588,4.19607843137255,4.66666666666667,"A","M"
"CFD-AM-246-184-N",2.2156862745098,2.27450980392157,4.74509803921569,4.76470588235294,"A","M"
"CFD-AM-251-124-N",2.41176470588235,1.70588235294118,4.70588235294118,4.07843137254902,"A","M"
"CFD-BF-002-001-N",3.76470588235294,4.41176470588235,5.43137254901961,5,"B","F"
"CFD-BF-004-014-N",2.15686274509804,2.72549019607843,4.33333333333333,4.46,"B","F"
"CFD-BF-005-001-N",2.84313725490196,3.27450980392157,4.17647058823529,4.29411764705882,"B","F"
"CFD-BF-008-001-N",2.31372549019608,2.41176470588235,4.29411764705882,4.58823529411765,"B","F"
"CFD-BF-030-002-N",2.6078431372549,2.41176470588235,5.01960784313725,4.88,"B","F"
"CFD-BF-034-002-N",1.84313725490196,2.25490196078431,4.25490196078431,4.03921568627451,"B","F"
"CFD-BF-036-027-N",2.86274509803922,3.27450980392157,5.01960784313725,4.58823529411765,"B","F"
"CFD-BF-037-022-N",2.27450980392157,2.62745098039216,3.76470588235294,4.13725490196078,"B","F"
"CFD-BF-038-037-N",1.7843137254902,1.74509803921569,4.31372549019608,4.01960784313725,"B","F"
"CFD-BF-039-031-N",2.35294117647059,2.43137254901961,4.68627450980392,4.26,"B","F"
"CFD-BF-205-141-N",1.84313725490196,1.92156862745098,4.49019607843137,4.54901960784314,"B","F"
"CFD-BF-222-240-N",2.29411764705882,3.01960784313725,4.3921568627451,4.11764705882353,"B","F"
"CFD-BF-232-187-N",3.15686274509804,3.62745098039216,4.54901960784314,4.35294117647059,"B","F"
"CFD-BF-240-179-N",4.66666666666667,5.19607843137255,5.49019607843137,5.12,"B","F"
"CFD-BF-247-179-N",3.11764705882353,3.29411764705882,4.96078431372549,4.80392156862745,"B","F"
"CFD-BM-011-016-N",2.09803921568627,2.27450980392157,5.02,4.68627450980392,"B","M"
"CFD-BM-018-001-N",2.35294117647059,2.29411764705882,4.27450980392157,4.41176470588235,"B","M"
"CFD-BM-029-024-N",1.92156862745098,2.17647058823529,3.94117647058824,4.41176470588235,"B","M"
"CFD-BM-036-003-N",2.31372549019608,2.07843137254902,4.70588235294118,4.6078431372549,"B","M"
"CFD-BM-040-002-N",2,2.07843137254902,4.86274509803922,4.3921568627451,"B","M"
"CFD-BM-043-071-N",3.29411764705882,3.11764705882353,4.72549019607843,4.98039215686275,"B","M"
"CFD-BM-219-141-N",1.88235294117647,2.25490196078431,4.33333333333333,4.49019607843137,"B","M"
"CFD-BM-226-276-N",1.86274509803922,2.15686274509804,4.7843137254902,4.86274509803922,"B","M"
"CFD-BM-227-191-N",2.7843137254902,3.09803921568627,4.3921568627451,4.76470588235294,"B","M"
"CFD-BM-229-209-N",2.17647058823529,2.56862745098039,5.17647058823529,4.58823529411765,"B","M"
"CFD-BM-235-226-N",2.41176470588235,2.43137254901961,4.07843137254902,3.94117647058824,"B","M"
"CFD-BM-237-188-N",2.50980392156863,2.58823529411765,4.98039215686275,4.76,"B","M"
"CFD-BM-238-242-N",1.94117647058824,2.17647058823529,4.25490196078431,3.88235294117647,"B","M"
"CFD-BM-239-136-N",3.33333333333333,2.90196078431373,4.7843137254902,4.90196078431373,"B","M"
"CFD-BM-246-192-N",2.27450980392157,2.56862745098039,4.72549019607843,5.13725490196078,"B","M"
"CFD-LF-201-035-N",2.41176470588235,3.43137254901961,3.86274509803922,4.01960784313725,"L","F"
"CFD-LF-203-066-N",2.96078431372549,3.23529411764706,4.09803921568627,4.43137254901961,"L","F"
"CFD-LF-206-078-N",3.41176470588235,4.45098039215686,5.01960784313725,4.98,"L","F"
"CFD-LF-211-003-N",2.3921568627451,3.03921568627451,3.74509803921569,4.49019607843137,"L","F"
"CFD-LF-212-066-N",2.47058823529412,2.84313725490196,4.66,4.64705882352941,"L","F"
"CFD-LF-214-090-N",2.54901960784314,2.90196078431373,3.88235294117647,4.54901960784314,"L","F"
"CFD-LF-217-082-N",2.64705882352941,3.09803921568627,4.07843137254902,4.62745098039216,"L","F"
"CFD-LF-218-072-N",2.35294117647059,2.6078431372549,4.23529411764706,4.09803921568627,"L","F"
"CFD-LF-220-120-N",1.98039215686275,1.92156862745098,4.82352941176471,4.11764705882353,"L","F"
"CFD-LF-223-064-N",2.13725490196078,2.54901960784314,4.09803921568627,4.41176470588235,"L","F"
"CFD-LF-227-054-N",2.15686274509804,2.19607843137255,4.09803921568627,4.48,"L","F"
"CFD-LF-241-188-N",3.52941176470588,3.94117647058824,4.7843137254902,4.72549019607843,"L","F"
"CFD-LF-247-051-N",2.25490196078431,2.80392156862745,4.19607843137255,4.6078431372549,"L","F"
"CFD-LF-249-132-N",3.70588235294118,4.11764705882353,5.31372549019608,5.15686274509804,"L","F"
"CFD-LF-251-057-N",2.54901960784314,2.72549019607843,4.68627450980392,4.54901960784314,"L","F"
"CFD-LM-200-045-N",1.96078431372549,2.33333333333333,4.68627450980392,4.84313725490196,"L","M"
"CFD-LM-206-204-N",1.96078431372549,2.17647058823529,4.52941176470588,4.62745098039216,"L","M"
"CFD-LM-207-004-N",2.41176470588235,2.80392156862745,4.54901960784314,4.25490196078431,"L","M"
"CFD-LM-208-110-N",2.35294117647059,2.58823529411765,3.88235294117647,4.33333333333333,"L","M"
"CFD-LM-209-111-N",1.72549019607843,2.09803921568627,3.31372549019608,3.3921568627451,"L","M"
"CFD-LM-210-156-N",1.80392156862745,2.29411764705882,4.6078431372549,5.13725490196078,"L","M"
"CFD-LM-211-128-N",2.19607843137255,2.76470588235294,3.62745098039216,4.05882352941176,"L","M"
"CFD-LM-212-143-N",2.27450980392157,2.70588235294118,4.49019607843137,4.35294117647059,"L","M"
"CFD-LM-219-295-N",3.05882352941176,2.45098039215686,4.50980392156863,4.66666666666667,"L","M"
"CFD-LM-224-162-N",3.94117647058824,4.05882352941176,5.76470588235294,5.25490196078431,"L","M"
"CFD-LM-225-130-N",2.47058823529412,2.31372549019608,4.3921568627451,4.72549019607843,"L","M"
"CFD-LM-241-125-N",1.98039215686275,2.58823529411765,4.33333333333333,4.33333333333333,"L","M"
"CFD-LM-243-075-N",2,2.15686274509804,4.64705882352941,4.74509803921569,"L","M"
"CFD-LM-248-089-N",2.3921568627451,2.6078431372549,4.70588235294118,4.94117647058824,"L","M"
"CFD-LM-249-001-N",1.94117647058824,2.17647058823529,4.64705882352941,4.37254901960784,"L","M"
"CFD-WF-006-002-N",2.43137254901961,2.49019607843137,3.76470588235294,4.25490196078431,"W","F"
"CFD-WF-012-002-N",4.2156862745098,5.15686274509804,4.6078431372549,4.03921568627451,"W","F"
"CFD-WF-016-015-N",2.80392156862745,3.50980392156863,4.29411764705882,4.28,"W","F"
"CFD-WF-019-005-N",2.31372549019608,2.98039215686275,3.70588235294118,4.2156862745098,"W","F"
"CFD-WF-020-002-N",2.41176470588235,3.35294117647059,4.17647058823529,4.50980392156863,"W","F"
"CFD-WF-029-002-N",3.88235294117647,4.15686274509804,4.74509803921569,4.38,"W","F"
"CFD-WF-201-156-N",2.98039215686275,3.45098039215686,4.98039215686275,4.82352941176471,"W","F"
"CFD-WF-206-147-N",3.58823529411765,4.19607843137255,5.01960784313725,4.98,"W","F"
"CFD-WF-208-068-N",3.23529411764706,3.2156862745098,3.92156862745098,4.09803921568627,"W","F"
"CFD-WF-210-086-N",1.64705882352941,1.70588235294118,4.03921568627451,4.23529411764706,"W","F"
"CFD-WF-214-122-N",2.7843137254902,3.47058823529412,4.23529411764706,4.13725490196078,"W","F"
"CFD-WF-220-101-N",4.17647058823529,4.92156862745098,5.37254901960784,5.3,"W","F"
"CFD-WF-229-004-N",1.80392156862745,2.35294117647059,4.13725490196078,4.31372549019608,"W","F"
"CFD-WF-233-112-N",3.98039215686275,4.17647058823529,5.37254901960784,4.92156862745098,"W","F"
"CFD-WF-239-155-N",1.94117647058824,2.84313725490196,4.47058823529412,4.43137254901961,"W","F"
"CFD-WM-003-002-N",2.90196078431373,3.19607843137255,4.50980392156863,3.64705882352941,"W","M"
"CFD-WM-004-010-N",3.98039215686275,3.86274509803922,5.31372549019608,5.05882352941176,"W","M"
"CFD-WM-006-002-N",2.72549019607843,2.94117647058824,4.70588235294118,4.27450980392157,"W","M"
"CFD-WM-009-002-N",3.11764705882353,3.07843137254902,4.96078431372549,5.03921568627451,"W","M"
"CFD-WM-021-001-N",1.86274509803922,2.15686274509804,3.80392156862745,4.01960784313725,"W","M"
"CFD-WM-032-001-N",1.74509803921569,1.94117647058824,4.05882352941176,3.80392156862745,"W","M"
"CFD-WM-035-032-N",1.76470588235294,2.27450980392157,3.80392156862745,4.36,"W","M"
"CFD-WM-037-025-N",1.94117647058824,2.01960784313725,4.54901960784314,4.35294117647059,"W","M"
"CFD-WM-200-034-N",2.25490196078431,2.72549019607843,4.35294117647059,4.15686274509804,"W","M"
"CFD-WM-206-045-N",1.58823529411765,1.80392156862745,4.25490196078431,3.88235294117647,"W","M"
"CFD-WM-211-054-N",2.88235294117647,2.35294117647059,4.92156862745098,4.52941176470588,"W","M"
"CFD-WM-217-070-N",2.49019607843137,3.03921568627451,4.70588235294118,4.96078431372549,"W","M"
"CFD-WM-229-129-N",2.41176470588235,2.82352941176471,3.68627450980392,4.3921568627451,"W","M"
"CFD-WM-234-118-N",2.07843137254902,2.13725490196078,4.25490196078431,4.49019607843137,"W","M"
"CFD-WM-239-128-N",2.15686274509804,2.58823529411765,3.92156862745098,4.72549019607843,"W","M"
